Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
22,BIOA,8,unknown,unknown,NASDAQ,3.3499349915928773,100,3.327820158518176,94,4,52.61,20.510000228881836,0.07457685908798871,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
23,WDC,8,Technology,Computer Hardware,NASDAQ,3.3155037348733725,100,3.2453408838405933,99,94,62.18,285.5199890136719,0.08574080597686723,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
24,PL,8,unknown,unknown,NYSE,3.300502366075169,100,3.815917967547894,99,98,65.24,23.899999618530273,0.08946504980807889,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
25,AFJK,6,unknown,unknown,NASDAQ,3.1922174718570653,100,4.734305473151725,23,39,64.63,37.939998626708984,0.12397395979939789,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
26,NKTR,7,Healthcare,Biotechnology,NASDAQ,3.1549369929034494,100,1.505120101068458,100,98,58.99,73.7300033569336,0.07532309400072638,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,91,False,False
27,NBTX,8,Healthcare,Biotechnology,NASDAQ,3.1441320353221465,100,3.133892975433739,100,99,39.7,24.780000686645508,0.06596621032917553,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
28,KOD,7,Healthcare,Biotechnology,NASDAQ,3.1038949003889096,100,2.911007971402057,100,99,62.78,25.280000686645508,0.0829848338949553,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
29,AG,8,Basic Materials,Silver,NYSE,3.085375945462756,100,2.606214561782137,94,92,53.77,27.549999237060547,0.06961368736757971,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
30,ZEPP,4,Technology,Scientific & Technical Instruments,NYSE,3.0724908918651197,100,3.1289745316840767,100,100,79.73,21.479999542236328,0.11085728104985666,2,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
31,COGT,7,Healthcare,Biotechnology,NASDAQ,3.0558542493365257,100,3.82420805513383,100,96,35.19,37.34000015258789,0.05190336506998571,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
32,INBX,7,Healthcare,Biotechnology,NASDAQ,3.0405875968757607,99,3.630016274624306,100,98,49.7,78.63999938964844,0.07309712728790017,5,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
33,ALM,8,unknown,unknown,NASDAQ,3.025745564591494,99,2.5573817173941737,97,98,62.14,14.739999771118164,0.08916457093389561,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
34,RHLD,7,unknown,unknown,NYSE,2.9674863984072943,99,4.229690799219413,100,98,50.05,190.0399932861328,0.07549540453244596,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
35,OLMA,6,Healthcare,Biotechnology,NASDAQ,2.9071179222944643,99,3.927479667657832,100,12,48.79,24.079999923706055,0.07299180861879205,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
36,MU,8,Technology,Semiconductors,NASDAQ,2.884331925526971,99,2.9039746107903284,97,80,47.63,428.1700134277344,0.06516938243497417,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
37,SATS,7,Technology,Communication Equipment,NASDAQ,2.863133143996343,99,3.1767421624901617,98,100,38.32,110.36000061035156,0.05623802055591079,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
38,TNGX,8,Healthcare,Biotechnology,NASDAQ,2.8441810648184846,99,2.878481588821531,99,99,41.76,12.199999809265137,0.06416862507710774,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
39,NEGG,4,Consumer Cyclical,Internet Retail,NASDAQ,2.829559162740617,99,3.539133086578326,100,100,67.74,50.83000183105469,0.09696186889603967,2,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
40,HL,8,Basic Materials,Gold,NYSE,2.7696787657055526,99,3.6862875920626763,98,92,55.15,24.020000457763672,0.08219341821575309,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
41,CIEN,8,Technology,Communication Equipment,NYSE,2.763596553012698,99,2.011970959687025,98,86,57.41,334.95001220703125,0.0708357359479681,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,97,False,False
42,LASR,8,Technology,Semiconductors,NASDAQ,2.732729193127228,99,2.790943151493633,97,99,56.7,56.0099983215332,0.07781391579848743,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
43,ARIS,8,Utilities,Utilities—Regulated Water,NYSE,2.7115696800603977,99,2.7723637940611083,98,95,46.82,21.010000228881836,0.0648670626521416,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
44,CRVS,7,Healthcare,Biotechnology,NASDAQ,2.710624629055659,99,4.291098602802525,95,76,49.34,16.56999969482422,0.08244246167592391,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
45,VICR,8,Technology,Electronic Components,NASDAQ,2.6942011998236732,99,2.4165025442122863,95,54,63.93,170.00999450683594,0.08624703617049989,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,98,False,False
46,PACS,8,unknown,unknown,NYSE,2.65494571181221,99,2.694633876710133,98,8,39.82,38.68000030517578,0.05824716944421316,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
47,ICHR,8,Technology,Semiconductor Equipment & Materials,NASDAQ,2.5982637601487033,99,1.3486028851442533,5,4,62.41,50.349998474121094,0.07999291610317487,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
48,JFB,6,unknown,unknown,NASDAQ,2.560980504664264,99,3.6554241229054876,100,96,100.0,19.0,0.3118984968142402,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
49,ENLT,8,unknown,unknown,NASDAQ,2.5417840995011334,99,2.0979111559393466,96,94,33.88,70.05000305175781,0.059105750047322936,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,98,False,False
50,UUUU,8,Energy,Uranium,NYSE MKT,2.510787618882779,99,2.432776185577091,96,99,74.03,21.350000381469727,0.10789561533548091,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
51,SIF,8,Industrials,Aerospace & Defense,NYSE MKT,2.4824162884466525,99,1.308475456659,91,97,84.31,12.5600004196167,0.09127615275731675,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,85,False,False
52,STX,8,Technology,Computer Hardware,NASDAQ,2.4818255208458897,99,2.3019342690120213,97,94,49.08,411.1099853515625,0.07121486237083659,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,98,False,False
53,TTMI,8,Technology,Electronic Components,NASDAQ,2.4808508489981653,99,2.503060697636146,97,97,60.52,107.93000030517578,0.07910551395753249,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
54,VSAT,8,Technology,Communication Equipment,NASDAQ,2.477857382797314,99,2.578102747019269,99,100,54.64,46.5,0.07672811177102835,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
55,TER,8,Technology,Semiconductor Equipment & Materials,NASDAQ,2.4604335939749444,99,1.8797838580448556,93,74,43.69,324.8500061035156,0.06084193683539622,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
56,PHOE,6,unknown,unknown,NASDAQ,2.459905625276917,99,1.9519297894098577,100,98,100.0,15.6899995803833,1.0024765445649466,2,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,97,False,False
57,ARWR,7,Healthcare,Biotechnology,NASDAQ,2.4144751515213514,99,2.9370720403284873,98,75,41.28,63.59000015258789,0.06059017522077797,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
58,FET,8,Energy,Oil & Gas Equipment & Services,NYSE,2.392372098713505,99,1.8333304494379707,94,94,35.02,57.86000061035156,0.045145917867087895,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,96,False,False
59,MAZE,8,unknown,unknown,NASDAQ,2.38853932553139,99,2.490542756179371,99,84,51.92,44.220001220703125,0.07934514020349193,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
60,LVLU,7,unknown,unknown,NASDAQ,2.3760644581667623,99,3.7677692727206886,14,1,84.38,15.239999771118164,0.12735752129635775,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
61,BLBX,8,unknown,unknown,NASDAQ,2.360904617394862,99,1.8543957476220991,94,98,76.37,13.100000381469727,0.09966738191198321,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
62,ISSC,8,Industrials,Aerospace & Defense,NASDAQ,2.355928515443939,99,1.846490060835579,22,94,54.29,24.31999969482422,0.07295582282935903,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
63,NESR,8,Energy,Oil & Gas Equipment & Services,NASDAQ,2.300654950118644,98,2.1129737302926133,95,74,36.64,24.399999618530273,0.0495726003513028,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
64,GPCR,6,unknown,unknown,NASDAQ,2.288414217058353,98,3.43198974880247,93,3,41.87,66.55000305175781,0.07155629847637796,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
65,FORM,8,Technology,Semiconductors,NASDAQ,2.2880837845524087,98,1.9774626680850687,93,7,46.12,94.55999755859375,0.06820309704186217,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,97,False,False
66,IAG,8,Basic Materials,Gold,NYSE,2.278038428507607,98,2.203868663784814,96,92,45.5,22.200000762939453,0.06763191064359168,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
67,GLSI,7,Healthcare,Biotechnology,NASDAQ,2.2708329937229577,98,2.0717729658505437,5,26,71.54,24.059999465942383,0.11295274233919837,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
68,CDE,8,Basic Materials,Gold,NYSE,2.26511172248471,98,2.409458891269027,96,97,53.26,24.6299991607666,0.07154456557680218,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
69,NGD,8,Basic Materials,Gold,NYSE MKT,2.264949744862551,98,2.6298687743121665,96,96,52.5,12.220000267028809,0.07043488384043056,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
