Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
22,ATLO,8,Financial Services,Banks—Regional,NASDAQ,1.3328028632308944,85,1.1842451575795887,75,63,16.41,27.850000381469727,0.02341625810646394,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,77,False,False
23,PLOW,8,Consumer Cyclical,Auto Parts,NYSE,1.3650120759632192,86,1.2302077212318288,65,82,16.79,42.790000915527344,0.023703803390509683,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,80,False,False
24,RIO,8,Basic Materials,Other Industrial Metals & Mining,NYSE,1.3759063908777434,87,1.2329677353989252,74,49,16.91,97.08999633789062,0.032826682753995653,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,81,False,False
25,SHG,8,Financial Services,Banks—Regional,NYSE,1.4870204655028063,90,1.182989383758004,86,78,17.22,71.72000122070312,0.030893956402366394,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,76,False,False
26,KEN,8,Utilities,Utilities—Regulated Electric,NYSE,1.76412901355934,95,1.621650476711722,95,95,18.02,80.87000274658203,0.032693556239393406,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,94,False,False
27,FDX,8,Industrials,Integrated Freight & Logistics,NYSE,1.4548473781011055,89,1.1797720314726952,70,15,18.75,388.4800109863281,0.027340976635866477,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,76,False,False
28,MYE,8,Consumer Cyclical,Packaging & Containers,NYSE,1.4390792939836548,89,1.3544165659416358,87,88,18.78,22.579999923706055,0.029355924952407696,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
29,KB,8,Financial Services,Banks—Regional,NYSE,1.4587643870368496,90,1.1464978171459799,78,74,18.82,117.66000366210938,0.03095481162801133,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,73,False,False
30,BHP,8,Basic Materials,Other Industrial Metals & Mining,NYSE,1.3332834974456598,85,1.1120840349145182,44,61,18.93,76.81999969482422,0.029465908187882306,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,68,False,False
31,ELLO,7,Utilities,Utilities—Renewable,NYSE MKT,1.340375896978312,85,1.3699875306235936,81,75,19.0,25.600000381469727,0.04740513258355871,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
32,MSBI,8,Financial Services,Banks—Regional,NASDAQ,1.3286263165045815,85,1.2498999033507971,15,21,19.55,23.639999389648438,0.02807149832168791,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,82,False,False
