Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK
3,RAPT,8,Healthcare,Biotechnology,NASDAQ,4.146727381669502,99,99,99,80,1.64,57.91999816894531,0.0023739585181767357,7,True,False,False,False,True
5,BIOA,8,unknown,unknown,NASDAQ,3.3499348271949465,99,99,94,3,52.61,20.510000228881836,0.07457685908798871,7,False,False,False,False,True
6,WDC,8,Technology,Computer Hardware,NASDAQ,3.315503865439812,99,99,98,94,62.18,285.5199890136719,0.08574080597686723,7,False,False,False,False,True
7,NBTX,8,Healthcare,Biotechnology,NASDAQ,3.144132266935975,99,98,99,98,39.7,24.780000686645508,0.06596621032917553,7,False,False,False,False,True
8,MU,8,Technology,Semiconductors,NASDAQ,2.8843320785013384,98,98,97,77,47.63,428.1700134277344,0.06516938243497417,7,False,False,False,False,True
9,PACS,8,unknown,unknown,NYSE,2.654945833053964,98,98,97,7,39.82,38.68000030517578,0.05824716944421316,7,False,False,True,False,True
10,UUUU,8,Energy,Uranium,NYSE MKT,2.5107877808855372,98,97,96,98,74.03,21.350000381469727,0.10789561533548091,6,True,False,False,False,True
11,VSAT,8,Technology,Communication Equipment,NASDAQ,2.47785755291636,98,98,98,99,54.64,46.5,0.07672811177102835,7,False,False,False,False,True
12,MAZE,8,unknown,unknown,NASDAQ,2.3885392523375004,98,98,99,82,51.92,44.220001220703125,0.07934514020349193,6,False,False,True,False,True
14,DBVT,8,Healthcare,Biotechnology,NASDAQ,2.254807781924882,97,97,99,99,46.29,21.459999084472656,0.07402477877319717,7,True,False,True,False,True
15,GOLD,8,Basic Materials,Gold,NYSE,2.2351775606263713,97,92,62,16,56.08,58.81999969482422,0.08387331951207377,7,False,False,False,False,True
16,COHR,8,Technology,Scientific & Technical Instruments,NYSE,2.2174334895971173,97,96,94,67,66.34,248.17999267578125,0.086984687140798,7,False,False,False,False,True
17,TYRA,8,Healthcare,Biotechnology,NASDAQ,2.1979948265665934,97,97,96,32,58.16,31.579999923706055,0.08090564633782116,7,False,False,False,False,True
18,SKE,8,unknown,unknown,NYSE,2.192488004242305,97,97,93,92,42.78,35.099998474121094,0.06257631917810955,7,False,False,False,False,True
20,STOK,8,Healthcare,Biotechnology,NASDAQ,2.0738748908300475,97,95,98,97,49.0,34.290000915527344,0.06955172469033537,7,False,False,False,False,True
21,BELFA,8,Technology,Electronic Components,NASDAQ,2.047571685015233,96,95,86,90,41.49,216.00999450683594,0.05931272507879987,7,False,False,False,False,True
23,TAYD,8,Industrials,Specialty Industrial Machinery,NASDAQ,1.983465751750997,96,94,71,70,38.86,89.94999694824219,0.05591202547472671,7,False,False,False,False,True
24,BVN,8,Basic Materials,Other Precious Metals & Mining,NYSE,1.9522699954186078,96,96,94,88,35.84,38.40999984741211,0.054766224264218635,7,True,False,False,False,True
25,RVMD,8,Healthcare,Biotechnology,NASDAQ,1.927463881332173,96,97,95,10,22.65,101.83000183105469,0.031537165257792314,7,True,False,True,False,True
28,TPC,8,Industrials,Engineering & Construction,NYSE,1.8978936197419476,95,95,95,97,34.09,86.9000015258789,0.047862898515922875,7,False,False,False,False,True
29,HSHP,8,unknown,unknown,NYSE,1.8932458576461164,95,87,86,76,25.72,14.09000015258789,0.03570414754628487,7,False,False,False,False,True
30,ASA,8,Financial Services,Asset Management,NYSE,1.8570872330486852,95,96,94,90,36.5,72.66000366210938,0.0528390520339021,7,False,False,False,False,True
31,ATI,8,Industrials,Metal Fabrication,NYSE,1.837021930443319,95,92,91,65,27.74,158.8699951171875,0.036310016387052765,7,False,True,False,False,True
32,UEC,8,Energy,Uranium,NYSE MKT,1.8230332838105017,95,97,90,95,56.89,16.25,0.08356045314243862,6,True,False,True,False,True
33,AMKR,8,Technology,Semiconductors,NASDAQ,1.7693241359812777,95,96,91,57,52.09,47.939998626708984,0.08293104122288754,6,False,False,True,False,True
34,DAN,8,Consumer Cyclical,Auto Parts,NYSE,1.7374328189121373,94,95,92,94,26.47,34.27000045776367,0.03989326273967582,7,False,False,False,False,True
35,CNL,8,unknown,unknown,NYSE MKT,1.7178389233472746,94,94,89,98,44.24,17.420000076293945,0.07038707680428666,7,True,False,False,False,True
36,CCJ,8,Energy,Uranium,NYSE,1.700350192145936,94,93,86,91,37.47,121.3499984741211,0.05462946537501032,7,False,False,False,False,True
37,GHM,8,Industrials,Specialty Industrial Machinery,NYSE,1.6305999631161714,94,89,84,82,41.43,81.01000213623047,0.06350186926013603,7,False,False,False,False,True
38,ZIM,8,Industrials,Marine Shipping,NYSE,1.630461356476144,94,89,54,13,32.09,29.270000457763672,0.05179121249338004,7,False,False,False,False,True
39,PRIM,8,Industrials,Engineering & Construction,NYSE,1.629215389535792,94,90,87,95,36.92,169.36000061035156,0.050387172207195435,7,False,False,False,False,True
40,NXT,8,unknown,unknown,NASDAQ,1.6290274132127682,93,93,95,89,44.08,119.33999633789062,0.06371412705852922,7,False,False,False,False,True
41,HII,8,Industrials,Aerospace & Defense,NYSE,1.6217478928214932,93,92,90,81,30.68,437.57000732421875,0.045453948107673864,7,False,False,False,False,True
42,CAMT,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.607688176266843,93,87,80,69,43.43,148.10000610351562,0.0660219972059947,6,False,False,False,False,True
43,ASML,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.5953901022827934,93,91,87,33,23.6,1469.5899658203125,0.034076499331329974,7,True,False,False,False,True
44,KMT,8,Industrials,Tools & Accessories,NYSE,1.5876814717370427,93,88,78,17,28.95,39.59000015258789,0.04432028756996678,7,False,False,False,False,True
45,PRPO,8,Healthcare,Diagnostics & Research,NASDAQ,1.5807369411050705,93,96,98,97,46.5,25.360000610351562,0.06382378179175759,6,True,False,True,False,True
46,TEVA,8,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,1.5692705951022077,93,93,90,42,22.2,34.220001220703125,0.031038630202362083,7,False,False,True,False,True
47,WWD,8,Industrials,Aerospace & Defense,NASDAQ,1.5577762538555948,92,88,82,82,24.21,394.0299987792969,0.04209613688271404,7,False,False,False,False,True
48,VPG,8,Technology,Scientific & Technical Instruments,NYSE,1.5548264372807439,92,92,79,63,45.6,47.849998474121094,0.07647411375622358,7,False,False,False,False,True
50,EXAS,8,Healthcare,Diagnostics & Research,NASDAQ,1.5365951201559591,92,94,97,7,2.22,103.43000030517578,0.003301074331415835,7,False,False,True,False,True
51,ATNI,8,Communication Services,Telecom Services,NASDAQ,1.5361374588729129,92,88,82,20,33.93,28.020000457763672,0.048970115385157706,7,False,False,False,False,True
53,LUV,8,Industrials,Airlines,NYSE,1.522270948203873,91,80,46,39,25.98,52.09000015258789,0.03994460795529936,7,False,False,False,False,True
54,WPM,8,Basic Materials,Gold,NYSE,1.5200399655033658,91,91,81,84,31.85,150.3800048828125,0.04576975577241018,7,True,False,False,False,True
55,PDS,8,Energy,Oil & Gas Drilling,NYSE,1.5177657282922192,91,82,56,49,29.88,88.27999877929688,0.04352224196445578,7,False,False,False,False,True
56,XPO,8,Industrials,Integrated Freight & Logistics,NYSE,1.5046252322420237,91,61,41,42,37.66,209.8699951171875,0.053492324540903725,7,False,False,False,False,True
57,CGEM,8,Healthcare,Biotechnology,NASDAQ,1.497269787646896,91,86,66,2,53.52,13.649999618530273,0.07114600735228523,7,False,False,False,False,True
59,SHG,8,Financial Services,Banks—Regional,NYSE,1.4870205038565967,91,77,86,75,17.22,71.72000122070312,0.030893956402366394,7,False,False,False,False,True
60,EZPW,8,Financial Services,Credit Services,NASDAQ,1.4741760708970078,90,84,82,78,27.38,25.3700008392334,0.039078773302606104,7,False,False,False,False,True
61,DCO,8,Industrials,Aerospace & Defense,NYSE,1.473240208710445,90,86,71,86,25.66,126.58000183105469,0.03616008426827412,7,False,False,False,False,True
62,ECG,8,unknown,unknown,NYSE,1.4675912970255138,90,85,85,93,37.73,108.16000366210938,0.051788352912207264,7,False,False,False,False,True
63,GRC,8,Industrials,Specialty Industrial Machinery,NYSE,1.465403566857015,90,78,67,55,24.93,65.69000244140625,0.03554832573415069,7,False,False,False,False,True
64,NATR,8,Consumer Defensive,Household & Personal Products,NASDAQ,1.4640400534214073,90,93,88,51,26.31,26.8799991607666,0.03736181440680194,7,False,False,False,False,True
