RMV,Ticker,Minervini,Sector,Industry,Percentile,Relative Strength,1 Month Ago
1.64,RAPT,8,Healthcare,Biotechnology,99,4.146727237309971,99
1.76,FOLD,8,Healthcare,Biotechnology,92,1.5666646121100969,94
2.13,RNA,8,Healthcare,Biotechnology,90,1.4838944379870367,95
2.22,EXAS,8,Healthcare,Diagnostics & Research,91,1.5365950879652546,94
2.81,DBRG,8,Real Estate,REIT—Diversified,86,1.3525268297605741,84
11.18,VOD,8,Communication Services,Telecom Services,86,1.3686127691133205,81
11.36,EMF,8,Financial Services,Asset Management,86,1.3531199645814105,85
11.85,IX,8,Financial Services,Credit Services,87,1.3791004139419298,75
12.05,SLAB,8,Technology,Semiconductors,89,1.4430679841867313,63
15.43,TPH,8,Consumer Cyclical,Residential Construction,85,1.3385217555058595,35
16.35,GLDD,8,Industrials,Engineering & Construction,88,1.4180650843336142,85
16.41,ATLO,8,Financial Services,Banks—Regional,85,1.3328028330617108,76
16.79,PLOW,8,Consumer Cyclical,Auto Parts,86,1.365012045059534,80
16.91,RIO,8,Basic Materials,Other Industrial Metals & Mining,87,1.3759063908559046,81
17.22,SHG,8,Financial Services,Banks—Regional,90,1.4870204708500412,76
18.02,KEN,8,Utilities,Utilities—Regulated Electric,95,1.7641290211012524,94
18.75,FDX,8,Industrials,Integrated Freight & Logistics,89,1.4548473418617172,76
18.78,MYE,8,Consumer Cyclical,Packaging & Containers,89,1.4390792946095396,87
18.82,KB,8,Financial Services,Banks—Regional,90,1.4587643943262842,72
18.93,BHP,8,Basic Materials,Other Industrial Metals & Mining,85,1.3332834965055649,68
19.0,ELLO,8,Utilities,Utilities—Renewable,85,1.340375894966273,88
19.6,KF,8,Financial Services,Asset Management,95,1.8248889072697745,92
19.65,AMRX,8,Healthcare,Drug Manufacturersâ€”Specialty & Generic,88,1.4181738964460515,88
20.16,BLFY,8,Financial Services,Banks—Regional,91,1.5181085933449625,87
20.48,KEP,8,Utilities,Utilities—Regulated Electric,94,1.6769531595254112,95
20.67,IONS,8,Healthcare,Biotechnology,93,1.6444547796531621,94
20.82,VTRS,8,Healthcare,Drug Manufacturers—Specialty & Generic,90,1.4607707478360075,82
20.87,ULTA,8,Consumer Cyclical,Specialty Retail,87,1.3756655042759365,86
20.91,SAN,8,Financial Services,Banks—Diversified,86,1.3658609442353213,91
20.94,ELAN,8,Healthcare,Drug Manufacturers—Specialty & Generic,89,1.4326080483801724,92
21.05,VALE,8,Basic Materials,Other Industrial Metals & Mining,89,1.4504590587593573,89
21.3,INSW,8,Industrials,Marine Shipping,89,1.4326205047062617,85
21.32,HAL,8,Energy,Oil & Gas Equipment & Services,86,1.355357645447277,82
21.33,FRO,8,Energy,Oil & Gas Midstream,92,1.5447772695550555,76
21.39,TWN,8,Financial Services,Asset Management,87,1.3870002275402613,83
21.41,WF,8,Financial Services,Banks—Regional,94,1.693299329198899,79
21.54,DG,8,Consumer Defensive,Discount Stores,89,1.4383298027816562,88
21.85,MT,8,Basic Materials,Steel,95,1.7521278106008191,92
21.92,CIB,8,Financial Services,Banks—Regional,91,1.4943969330051918,94
22.2,TEVA,8,Healthcare,Drug Manufacturers—Specialty & Generic,92,1.5692705584920226,93
22.26,SFST,8,Financial Services,Banks—Regional,85,1.331283606587777,86
22.27,MATX,8,Industrials,Marine Shipping,87,1.385960554753122,88
22.29,MGA,8,Consumer Cyclical,Auto Parts,88,1.406523278754348,76
22.42,WLFC,8,Industrials,Rental & Leasing Services,86,1.3516005758095666,77
22.62,TIGO,8,Communication Services,Telecom Services,92,1.5644483217510716,92
22.63,STRS,8,Real Estate,Real Estate—Diversified,89,1.421565736538968,84
22.65,RVMD,8,Healthcare,Biotechnology,96,1.927463834791142,98
22.79,DD,8,Basic Materials,Specialty Chemicals,87,1.3743471303786237,83
22.81,HLIO,8,Industrials,Specialty Industrial Machinery,92,1.5484395097417267,91
22.94,BG,8,Consumer Defensive,Farm Products,85,1.3444722135822382,79
23.03,DAR,8,Consumer Defensive,Packaged Foods,87,1.3803418157549723,75
23.1,HWM,8,Industrials,Specialty Industrial Machinery,86,1.3567080822572992,79
23.12,JBHT,8,Industrials,Integrated Freight & Logistics,86,1.3689766652693915,78
