Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
21,OIH,8,unknown,unknown,Manual Tip,1.4038362607258672,86.66666666666667,1.4115950649766804,1.5248326511487362,82.42424242424242,60.0,16.3,425.4800109863281,0.024291883357883966,7,False,False,True,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,VanEck Oil Services ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,561200.0,722350.0,True,87.27272727272727,93.33333333333333,False,False
22,SMH,8,unknown,unknown,Market Pulse,1.3963886251568647,86.06060606060606,1.3214020887521238,1.2771424041169794,83.03030303030303,81.21212121212122,15.11,481.8500061035156,0.022976919022908764,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,VanEck Semiconductor ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,4742703616.0,10501200.0,7463260.0,True,83.63636363636363,78.78787878787878,False,False
23,UFO,8,unknown,unknown,Manual Tip,1.3844420120407563,85.45454545454545,1.422222063822395,1.4415242224310896,85.45454545454545,80.60606060606061,23.82,52.900001525878906,0.0326546060289357,7,True,False,False,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,Procure Space ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,1577500.0,465880.0,False,87.87878787878788,87.87878787878788,False,False
24,VLO,8,Energy,Oil & Gas Refining & Marketing,Manual Tip,1.3783669810891068,84.84848484848484,1.4585218026492193,1.5168376653114368,73.33333333333333,74.54545454545455,24.22,233.8300018310547,0.04159616193089472,6,True,False,True,False,True,AlphaCharts,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Valero Energy Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,61922213888.0,2360400.0,2269970.0,False,89.6969696969697,92.12121212121212,False,False
25,AVGO,7,Technology,Semiconductors,Nasdaq 100,1.359943202715857,84.24242424242424,1.2612425855180398,1.0887991721614139,69.6969696969697,90.9090909090909,19.64,419.94000244140625,0.03013355175136854,6,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Broadcom Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,1515073961984.0,19430300.0,20950050.0,False,79.39393939393939,60.0,False,False
26,TEVA,7,Healthcare,Drug Manufacturers - Specialty & Generic,Manual Tip,1.3549796475252536,83.63636363636363,1.3666888663858165,1.3390202986697348,92.72727272727272,69.6969696969697,19.22,31.209999084472656,0.02984393056276451,5,True,False,True,True,True,YourTube,"{'c': False, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Teva Pharmaceutical Industries Limited,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Alphacharts 2-28-2026,2026-03-02,False,37709996032.0,3605800.0,4191040.0,False,85.45454545454545,83.03030303030303,False,False
27,ANET,8,Technology,Computer Hardware,Manual Tip,1.3449368966913233,83.03030303030303,1.2854130834811646,1.1450175291175182,72.12121212121212,84.24242424242424,25.95,172.5500030517578,0.036139828869876,7,True,False,False,False,True,memory,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Arista Networks, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,Test,2026-02-23,False,162158149632.0,7419200.0,9997750.0,False,81.81818181818183,67.27272727272727,False,False
28,ASML,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.334244912328702,82.42424242424242,1.3354383419175833,1.4951325411296255,90.9090909090909,87.27272727272727,22.31,1417.800048828125,0.04146214094784939,6,False,False,True,True,True,AI Scanner,"{'c': False, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,ASML Holding N.V.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,569575014400.0,1795900.0,1358350.0,False,84.24242424242424,90.9090909090909,False,False
29,SCCO,7,Basic Materials,Copper,Manual Tip,1.3199917028186534,81.81818181818183,1.3985112241944404,1.3856644623676873,92.12121212121212,89.6969696969697,26.35,182.25,0.04402899513192301,3,True,False,True,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Southern Copper Corporation,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,174043070464.0,2247900.0,1551606.0,False,86.06060606060606,85.45454545454545,False,False
30,MCHP,8,Technology,Semiconductors,Nasdaq 100,1.3162905573021244,81.21212121212122,1.1316793001017713,1.012621727059704,75.15151515151514,47.27272727272727,23.78,90.63999938964844,0.03272758119212345,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,Microchip Technology Incorporated,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,40390352896.0,18132600.0,7370320.0,True,69.6969696969697,46.06060606060606,False,False
31,XPRO,8,Energy,Oil & Gas Equipment & Services,Manual Tip,1.308908392920471,80.60606060606061,1.2677532232535067,1.5102403666535742,79.39393939393939,68.48484848484848,25.77,17.079999923706055,0.03788892399804332,6,False,False,True,True,True,AlphaCharts,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Expro Group Holdings N.V.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,2049467520.0,988100.0,1183260.0,False,80.60606060606061,91.51515151515152,False,False
32,COPX,8,unknown,unknown,Manual Tip,1.3002335770210296,80.0,1.4026821880063944,1.357734320477134,93.33333333333333,88.48484848484848,18.74,82.45999908447266,0.03449292104078837,6,False,False,True,True,True,AlphaCharts,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,Global X Copper Miners ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,2909700.0,4200980.0,False,86.66666666666667,84.84848484848484,False,False
33,GOOGL,8,Communication Services,Internet Content & Information,Nasdaq 100,1.2951056630292332,79.39393939393939,1.3028196635375315,1.2326077220348284,88.48484848484848,85.45454545454545,14.36,338.8900146484375,0.022491505435332706,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Alphabet Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,3771360870400.0,18586000.0,35327630.0,False,82.42424242424242,77.57575757575758,False,False
34,ROST,8,Consumer Cyclical,Apparel Retail,Nasdaq 100,1.287098439251574,78.78787878787878,1.2644273910969266,1.399817130727782,74.54545454545455,58.78787878787879,12.84,226.9199981689453,0.019572669945071952,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Ross Stores, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,66879528960.0,1615100.0,2268890.0,True,80.0,86.66666666666667,False,False
35,GOOG,8,Communication Services,Internet Content & Information,Nasdaq 100,1.282731321828201,78.18181818181819,1.2822999947294336,1.2193684086862082,87.27272727272727,84.84848484848484,14.1,337.75,0.021807131384572933,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Alphabet Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,3767368679424.0,13391000.0,21552930.0,True,81.21212121212122,76.96969696969697,False,False
36,SLV,6,unknown,unknown,Market Pulse,1.2543060064006366,77.57575757575758,1.3463328081049961,1.4795480712545988,96.96969696969697,76.96969696969697,19.39,68.37999725341797,0.03722895154668025,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,iShares Silver Trust,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,True,29019834368.0,21841900.0,68846860.0,False,84.84848484848484,88.48484848484848,False,False
37,BKR,8,Energy,Oil & Gas Equipment & Services,Nasdaq 100,1.251626347436585,76.96969696969697,1.2433060789559574,1.389316584754253,77.57575757575758,54.54545454545454,19.41,64.48999786376953,0.02940656531535471,7,False,True,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,Baker Hughes Company,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,64492314624.0,12137200.0,7254850.0,True,78.18181818181819,86.06060606060606,False,False
38,ODFL,8,Industrials,Trucking,Nasdaq 100,1.2496914900610443,76.36363636363637,1.2195513255537194,1.1818791762226053,58.18181818181818,6.666666666666667,21.5,222.77999877929688,0.03128647171640683,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Old Dominion Freight Line, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,42674642944.0,1590800.0,1961490.0,True,77.57575757575758,71.51515151515152,False,False
39,TAN,8,unknown,unknown,Market Pulse,1.226341789662644,75.75757575757575,1.1691399211502498,1.3550092503001392,83.63636363636363,78.78787878787878,16.67,58.599998474121094,0.02582886296742202,6,True,True,True,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,Invesco Solar ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,2133300.0,1652070.0,True,72.72727272727273,84.24242424242424,False,False
40,CSX,8,Industrials,Railroads,Nasdaq 100,1.2242811220667438,75.15151515151514,1.1462134709257163,1.1505691250066152,56.96969696969697,43.63636363636363,13.36,46.18000030517578,0.01999936984213129,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,CSX Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,79384477696.0,26655100.0,11745390.0,True,71.51515151515152,70.3030303030303,False,False
