Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
83,Banks - Regional,Financial Services,1.01,27,1.01,39,34,24,31,"RRBI,BAP,WF,BOTJ,SHG,KB,ATLO,MBBC,NKSH,WSBK,ISBA,PKBK,RBKB,AMAL,MRBK,BLFY,ISTR,SSBI,CFBK,CLST,MBIN,PEBK,CASH,OBT,EGBN,EBMT,SFST,BCH,HFBL,FVCB,IFS,STEL,NIC,MCHB,HTBK,BPOP,WBS,TRST,WSBF,PGC,BSAC,BWFG,OVBC,ESQ,OVLY,CFG,BOKF,LSBK,FXNC,WNEB,CBAN,SRBK,FSBC,WSFS,FNWD,CBNA,AROW,FRST,MSBI,BFC,AVBH,WTBA,NBN,PLBC,VBNK,FRAF,BLX,TSBK,WASH,BBT,MCB,FUSB,OBK,NFBK,FBNC,HBCP,FSEA,MVBF,BVFL,CAC,PDLB,CLBK,RBB,ALRS,TMP,NBBK,CPBI,FDSB,TRMK,CZNC,EBC,CCNE,MNSB,SMBC,PFS,FISI,SHBI,MPB,BSRR,THFF,ABCB,MGYR,HWBK,BOH,CBFV,USB,SRCE,CARE,FNLC,BY,SPFI,INDB,FIBK,TCBI,MBWM,FFIC,SMBK,FFBC,PEBO,BUSE,AX,HBT,NWFL,OSBC,CUBI,TFSL,PFIS,PROV,TCBK,MYFW,KEY,UVSP,QCRH,FULT,HFWA,ECBK,HTB,AMTB,MNSBP,NWG,WABC,CFR,HWC,PNC,CCBG,CFFI,JMSB,MTB,CPF,ACNB,SBCF,FBLA,CNOB,EQBK,IBCP,TCBX,WSBC,BFST,BANC,LCNB,FNB,BWB,PCB,HIFS,VABK,RF,FMBH,USCB,FITBI,BPRN,STBA,FHN,FITB,COLB,BCAL,CIVB,HAFC,WTFC,WAFD,COSO,MCBS,NPB,ORRF,NBHC,GABC,AUBN,PBFS,FCF,BHB,CHMG,WAFDP,SBSI,CATY,FLG,FBIZ,EWBC,FBP,TFC,AUB,GSBC,NSTS,BCML,NWBI,CZFS,BHRB,ZION,ASB,LOB,FBK,UMBF,RMBI,CVBF,IBOC,SBFG,ONB,PRK,RNST,NRIM,OCFC,GBCI,BMRC,NU,SFNC,RBCAA,CHCO,FMAO,OPBK,NBTB,FSBW,FDBC,HBNC,SSB,AFBI,LARK,FRME,FHB,TOWN,SFBS,TFIN,EFSC,CBNK,FCAP,FRBA,FSUN,LKFN,BMA,PB,OFG,OZK,LC,BSVN,UNB,HOMB,COFS,HBAN,EFSI,GCBC,FINW,DB,HNVR,GGAL,BANR,FMNB,BANF,FCNCA,SYBT,PBHC,BBAR,SFBC,FFIN,IBN,CBSH,TBBK,INBK,PNFP,HDB,WAL,CCB,GBFH"
84,Airports & Air Services,Industrials,1.0,26,1.05,54,39,33,36,"CAAP,OMAB,ASR,PAC"
85,Utilities - Regulated Water,Utilities,1.0,26,1.01,26,25,18,31,"SBS,HTO,WTRG,CDZIP,CWCO,AWK,AWR,CWT,ARTNA,YORW,MSEX"
86,REIT - Hotel & Motel,Real Estate,1.0,26,1.04,37,26,17,35,"HST,XHR,RHP"
87,Waste Management,Industrials,1.0,26,1.0,22,29,14,29,"NVRI,CLH,PESI,WM,RSG,MEG,WCN,GFL,CWST,LNZA"
88,Farm Products,Consumer Defensive,1.0,26,1.0,32,24,18,29,"BG,ADM,FDP,ALCO,TSN,DOLE,CALM,LMNR,VITL"
89,Internet Content & Information,Communication Services,0.99,24,0.99,30,40,53,27,"SOGP,NBIS,GOOGL,GOOG,BIDU,JOYY,BILI,IAC,META,MTCH,OPRA,SSTK,TME,SPOT,RDDT,YELP,BZ,ATHM,PINS,EVER,ZG,Z"
90,Specialty Business Services,Industrials,0.99,24,1.02,27,35,24,33,"RHLD,BKSY,UNF,CMPR,RTO,ULS,AZZ,TRNS,AMTM,ARMK,CASS,WFCF,CTAS,RBA,MMS,BV,DLB,ABM,GPN,TISI,RELX,CPRT,TRI,CBZ"
91,Asset Management,Financial Services,0.99,24,0.99,28,27,25,27,"SII,KF,ASA,TWN,WT,DBRG,PEO,EMF,BGR,BCX,TYG,STK,HASI,AMG,ASGI,JHG,DPG,FHI,HQL,KYN,SWKH,NXG,SRV,GLU,CAF,IVZ,MXF,UTG,DHIL,MXE,GGZ,IDE,ACV,RGT,BCV,NTRS,NCZ,RVT,HQH,NCV,HTD,GAM,STT,BSTZ,LGI,CII,BEN,ERH,RQI,CCD,MUJ,MIY,RMI,THW,ADX,UTF,CEE,NAZ,EVT,RMM,QQQX,GDV,BME,IIM,VCTR,BST,SOR,ETB,PDT,NMT,NIE,RSF,NVG,CET,PDX,NKX,ETO,BXMX,NXJ,NZF,FFA,ETG,GAIN,BMN,FAX,MPV,RFM,DIAX,IAF,SCD,NFJ,PFG,NUW,CSWC,FLC,BTT,JCE,RA,EOI,NXP,RMMZ,JGH,TRIN,CSQ,ETX,HERZ,HPF,JLS,PDI,NBB,BMEZ,JHI,JRI,TY,PAXS,SPXX,PAI,SAR,BLW,DBL,CPZ,BIT,ETY,EOS,BBUC,BSL,MCI,BANX,SEIC,WHG,BGH,KBDC,MAIN,BN,CNS,SAMG,RJF,ARDC,SLRC,BLK,FDUS,PFX,TROW,GBDC,ARCC,IIF,AMP,APAM,CCAP,CG,BXSL,MSIF,BAM,TSLX,HTGC,GLAD,STEP,EQH,CRBG,DXYZ,APO,VRTS,BX,HLNE,TPG,KKR,ARES"
92,Tobacco,Consumer Defensive,0.99,24,0.99,34,34,53,27,"BTI,MO,PM,TPB,UVV,RYM"
93,REIT - Industrial,Real Estate,0.98,23,0.97,20,15,9,24,"NSA,PLD,FR,EGP,STAG,LXP,TRNO,PSA,MDV,EXR,CUBE,IIPR,SMA,LINE,REXR"
94,Medical Devices,Healthcare,0.97,22,0.95,20,35,12,21,"BWAY,AXGN,TCMD,MOVE,IRMD,ESTA,GMED,TNDM,PEN,MASI,LIVN,NPCE,TMDX,AVNS,PHG,EW,AORT,CBLL,SNN,GKOS,ZBH,SYK,BIO,MDT,UFPT,ELMD,DXCM,GEHC,INMD,STE,ATEC,KIDS,HAE,ABT,NVCR,BRKR,CNMD,ENOV,IRTC,SIBN,PODD,BSX,SNWV,PRCT,QDEL,INSP"
95,Rental & Leasing Services,Industrials,0.97,22,1.02,43,24,24,33,"FTAI,WLFC,R,AL,AER,GATX,PRG,MGRC,CAR,HRI,UHAL,WSC"
96,Airlines,Industrials,0.97,22,1.01,52,46,31,31,"LUV,ALGT,LTM,DAL,CPA,RYAAY,RJET,SKYW,ALK"
97,Beverages - Brewers,Consumer Defensive,0.97,22,0.99,34,13,4,27,"BUD,SAM,FMX,STZ,TAP"
98,Insurance - Diversified,Financial Services,0.97,22,0.97,27,27,19,24,"FIHL,SLF,HIG,ACGL,IGIC,BNT,AIG"
99,Auto Manufacturers,Consumer Cyclical,0.96,20,0.96,39,29,43,23,"CYD,GM,TM,TSLA,RIVN,XPEV,LI,HMC,PSNY,RACE"
100,Index/ETF,Market Pulse,0.96,20,0.95,20,22,19,21,"MEGI,BCAT,NMAI,GUG,FINS,RFMZ,STEW,ECAT,NBXG,WDI,NCDL,MSDL"
101,Grocery Stores,Consumer Defensive,0.96,20,0.91,11,4,9,14,"IMKTA,VLGEA,KR,WMK,ACI,NGVC,SFM"
102,Industrial Distribution,Industrials,0.96,20,0.98,39,26,34,25,"DXPE,REZI,WCC,GIC,FERG,QXO,FAST,MSM,GWW,AIT,SITE,TITN,WSO,EVI,XMTR,CNM,DSGR,POOL,BXC"
103,Recreational Vehicles,Consumer Cyclical,0.95,18,0.95,54,34,21,21,"LCII,PATK,DOO,BC,MCFT,PII,WGO,THO,MBUU,HOG"
104,Travel Services,Consumer Cyclical,0.95,18,0.98,24,32,34,25,"LIND,VIK,TNL,EXPE,RCL,PRSU,ABNB,CCL,NCLH,BKNG,TCOM,MMYT"
105,Packaged Foods,Consumer Defensive,0.95,18,0.97,24,17,9,24,"MAMA,DAR,HLF,SENEA,NATR,SENEB,FRPT,JBSS,CENT,SJM,CENTA,SFD,POST,INGR,KHC,HRL,PPC,FTLF,MZTI,LWAY,CAG,MKC,JJSF,GIS,LW,USNA,CPB,SMPL,BRBR"
106,REIT - Mortgage,Real Estate,0.94,16,0.94,22,26,14,19,"ARR,NLY,DX,CIM,BXMT,NREF,REFI,STWD,ACR,RPT"
107,Footwear & Accessories,Consumer Cyclical,0.94,16,0.94,19,26,19,19,"RCKY,WEYS,SHOO,DECK,CROX,WWW,ONON,NKE,BIRK"
108,Resorts & Casinos,Consumer Cyclical,0.94,16,0.94,9,25,17,19,"RRR,VAC,CZR,GDEN,LVS,MGM,BYD,HGV,CPHC,BALY,WYNN,PENN,MTN"
109,Financial Conglomerates,Financial Services,0.94,16,0.96,24,26,41,23,"IX,HTH,FRHC,VOYA,TREE"
110,Restaurants,Consumer Cyclical,0.93,14,0.92,17,9,6,16,"CAVA,BDL,LOCO,YUMC,CAKE,SBUX,QSR,YUM,DRI,MCD,BH,NATH,TXRH,DIN,SHAK,KRUS,EAT,BJRI,DPZ,CMG,PZZA,HDL,BROS,WING,CBRL,RICK,JACK"
111,Internet Retail,Consumer Cyclical,0.93,14,0.92,13,44,47,16,"NEGG,W,EBAY,ETSY,LQDT,AMZN,BABA,GLBE,RVLV,PDD,VIPS,CART,JD,MELI,CPNG,DASH,CHWY,SE"
112,Electronics & Computer Distribution,Technology,0.92,13,0.92,24,5,16,16,"AVT,ARW,SNX,CNXN,SCSC,NSIT,CLMB"
113,Insurance - Property & Casualty,Financial Services,0.92,13,0.92,15,28,22,16,"UVE,HRTG,MCY,WTM,L,CB,PRA,TRV,LMND,CINF,CNA,ORI,AIZ,ALL,KINS,DGICB,AII,WRB,AFG,THG,HCI,SAFT,NODK,MKL,GBLI,HMN,SIGI,RLI,PLMR,STC,DGICA,SKWD,PGR,KNSL,HIPO,BOW,TRUP,KMPR,ROOT"
114,Residential Construction,Consumer Cyclical,0.92,13,0.93,37,13,18,17,"TPH,IBP,TOL,PHM,GRBK,MHO,SKY,CVCO,DHI,HOV,TMHC,BZH,MTH,KBH,LEGH,NVR,LEN,LGIH,DFH"
115,REIT - Residential,Real Estate,0.91,12,0.92,15,7,8,16,"VRE,ELS,MRP,CSR,UDR,EQR,ESS,CPT,UMH,BRT,IRT,AMH,INVH,NXRT"
