Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
85,DIA,8,unknown,unknown,Market Pulse,0.9727238620348542,49.09090909090909,0.9689667438960891,0.9939406386300909,52.72727272727272,44.84848484848485,7.13,494.760009765625,0.012558829834319832,7,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street SPDR Dow Jones Industrial Average ETF Trust,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,39954444288.0,3762330.0,6806970.0,True,40.60606060606061,44.24242424242424,False,False
86,RSP,8,unknown,unknown,Market Pulse,0.9726228859317327,48.484848484848484,0.9824965391416176,1.0153196334268988,49.09090909090909,40.60606060606061,6.99,202.4600067138672,0.011656615391996373,7,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Invesco S&P 500 Equal Weight ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,31883696128.0,7194022.0,21584180.0,False,46.06060606060606,46.06060606060606,False,False
87,XLC,7,unknown,unknown,Market Pulse,0.9715004501631541,47.878787878787875,0.9852246665351874,0.9850282978403656,53.333333333333336,54.54545454545454,7.88,117.87999725341797,0.01240366532335533,6,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Communication Services Select Sector SPDR ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,0.0,3076688.0,5065420.0,True,47.27272727272727,43.63636363636363,False,False
88,XLU,6,unknown,unknown,Market Pulse,0.9629103069174392,47.27272727272727,1.002207284211083,1.0770324594108438,33.33333333333333,47.27272727272727,10.32,44.869998931884766,0.015807565867838425,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Utilities Select Sector SPDR ETF,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,True,7793068032.0,21666160.0,30983130.0,False,49.696969696969695,60.60606060606061,False,False
91,XLRE,7,unknown,unknown,Market Pulse,0.9540468602135974,45.45454545454545,0.9772138746468896,0.9726023365944764,27.878787878787882,26.060606060606062,9.2,43.459999084472656,0.014180524840260332,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Real Estate Select Sector SPDR ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,0.0,4128349.0,5749670.0,False,44.84848484848485,40.0,False,False
92,KO,6,Consumer Defensive,Beverages - Non-Alcoholic,Manual Tip,0.9507845307574686,44.84848484848485,0.9898018755647195,1.070884440003216,47.27272727272727,35.75757575757576,11.06,74.62999725341797,0.016447792856432362,3,True,False,True,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,The Coca-Cola Company,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,347225882624.0,6971230.0,19948880.0,False,47.878787878787875,58.78787878787879,False,False
93,XRT,7,unknown,unknown,Market Pulse,0.9475586492743326,44.24242424242424,0.9369697171017131,0.9526594074140231,53.939393939393945,48.484848484848484,12.95,87.11000061035156,0.02039702854872694,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street SPDR S&P Retail ETF,Sideways,Consolidating near Moving Averages.,2,,,True,1014964736.0,3815729.0,4251190.0,False,36.96969696969697,37.57575757575757,False,False
94,NRG,5,Utilities,Utilities - Independent Power Producers,Manual Tip,0.9473324133415878,43.63636363636363,1.114222419710525,1.0284628196803554,44.24242424242424,81.81818181818183,26.65,149.60000610351562,0.04394097582400008,2,True,False,True,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,"NRG Energy, Inc.",Downward,"Bearish posture, trading below major MAs.",1,AlphaCharts 2-22-2026,2026-02-24,False,39730126848.0,3137271.0,2097690.0,False,68.48484848484848,49.696969696969695,False,False
98,DG,6,Consumer Defensive,Discount Stores,Manual Tip,0.9448055023208504,41.21212121212121,0.9439198463277403,1.0384157500853126,87.87878787878788,52.72727272727272,22.79,123.19999694824219,0.0331127935728928,3,True,False,True,False,True,YourTube,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Dollar General Corporation,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Alphacharts 2-28-2026,2026-03-02,False,26770710528.0,2391573.0,3169350.0,False,38.78787878787879,52.121212121212125,False,False
99,TSLA,5,Consumer Cyclical,Auto Manufacturers,Nasdaq 100,0.9423652044966014,40.60606060606061,0.9749906675584283,0.9557727108773568,63.63636363636363,84.84848484848484,27.0,387.510009765625,0.041593400120082585,4,False,False,True,False,True,Weekly Analysis,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Tesla, Inc.",Downward,"Bearish posture, trading below major MAs.",1,Tech Giants Watch,2026-02-21,False,1510391414784.0,53758836.0,55939870.0,True,43.03030303030303,38.18181818181819,False,False
