Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
1,Computer Hardware,Technology,3.85,100,3.96,100,100,100,100,"SNDK,WDC,STX,ANET,SMCI"
2,Aerospace & Defense,Industrials,2.27,96,2.02,96,96,92,96,"PL,AXON"
3,Communication Equipment,Technology,1.96,92,1.84,92,88,96,92,"VSAT,CSCO"
4,Semiconductor Equipment & Materials,Technology,1.59,88,1.66,88,84,84,88,"LRCX,AMAT,KLAC,ASML"
5,Copper,Basic Materials,1.45,84,1.58,80,92,88,84,"HBM,SCCO"
6,Semiconductors,Technology,1.42,80,1.37,72,68,72,80,"MU,MRVL,INTC,MPWR,AMD,ADI,AVGO,ARM,TXN,MCHP,NVDA,NXPI,QCOM"
7,Oil & Gas Equipment & Services,Energy,1.27,76,1.35,84,74,52,76,"WFRD,XPRO,BKR"
8,Entertainment,Communication Services,1.18,72,1.27,76,80,80,72,"WBD,NFLX"
9,Internet Content & Information,Communication Services,1.16,68,1.17,64,74,68,68,"GOOGL,GOOG,META"
10,Telecom Services,Communication Services,1.11,64,1.01,42,12,4,42,"IRDM,CHTR,CMCSA,TMUS"
11,unknown,unknown,1.05,60,1.07,52,52,48,60,"USO,UFO,OIH,SMH,COPX,SLV,XTN,XBI,TAN,XME,ICLN,GDX,XLE,ROBO,XLK,IWM,IYT,MAGS,XLB,QQQ,UTSL,XLI,MOO,MDY,RSP,XLC,DIA,QQQE,XLU,XLRE,XRT,XLY,FDN,XHB,XLF,XLP,XLV,IBUY,ITB,IGV,ETHA,IBIT"
12,Discount Stores,Consumer Defensive,1.04,56,1.02,56,57,26,50,"TGT,WMT,DG,COST"
13,Drug Manufacturers - General,Healthcare,1.01,52,1.1,68,64,36,64,"GILD,AMGN"
14,Utilities - Regulated Electric,Utilities,0.99,48,1.06,60,40,42,56,"AEP,NEE,XEL,EXC"
15,Biotechnology,Healthcare,0.94,44,1.02,42,57,62,50,"REGN,INSM,VRTX,ALNY"
16,Beverages - Non-Alcoholic,Consumer Defensive,0.93,40,0.97,48,44,32,36,"MNST,PEP,KO,CCEP,KDP"
17,Electronic Gaming & Multimedia,Communication Services,0.92,34,0.91,34,48,62,32,"EA,TTWO"
18,Utilities - Independent Power Producers,Utilities,0.92,34,1.01,34,32,76,42,"NRG,CEG"
19,Travel Services,Consumer Cyclical,0.91,28,0.87,26,32,20,28,"ABNB,BKNG"
20,Internet Retail,Consumer Cyclical,0.85,24,0.83,12,20,42,20,"AMZN,PDD,MELI,DASH"
21,Software - Infrastructure,Technology,0.84,20,0.77,20,32,56,12,"STNE,CRWD,FTNT,PLTR,MSFT,PANW,SNPS,ZS"
22,Medical Devices,Healthcare,0.82,16,0.86,26,24,16,24,"GEHC,DXCM"
23,Packaged Foods,Consumer Defensive,0.76,12,0.78,16,16,8,16,"KHC,CAG"
24,Software - Application,Technology,0.74,8,0.67,4,6,26,4,"CDNS,SHOP,DDOG,ADSK,PAYX,ROP,ADBE,ADP,MSTR,INTU,WDAY"
25,Specialty Business Services,Industrials,0.72,4,0.71,8,6,12,8,"GPN,CTAS,CPRT,TRI"
