Rank,Industry,Sector,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Relative Strength,Tickers
36,Metal Fabrication,Industrials,42,59,51,50,1.06,"CRS,ATI,MLI,RYI"
37,Beverages—Brewers,Consumer Defensive,40,47,53,23,1.05,"FMX,TAP,BUD"
38,Specialty Industrial Machinery,Industrials,40,47,35,25,1.05,"CIR,GE,LII,ETN,PNR,PH,KRNT,ITT,HWM,IR,PSN,RRX,TT,ARNC,FLS,AME,AOS,ROP,ROK,GTLS,EMR,ITW,OTIS,GGG,MWA,HI,IEX,DCI,CMI,GTES,XYL,DOV,MIDD,HON,MMM,GNRC"
39,Industrial Distribution,Industrials,40,52,44,29,1.05,"CNM,FERG,WSO,MSM,GWW,WCC,FAST"
40,Integrated Freight & Logistics,Industrials,40,35,28,17,1.05,"XPO,FDX,JBHT,EXPD,ATSG,ZTO,UPS,CHRW"
41,Software—Application,Technology,40,38,28,16,1.05,"RIOT,FSLY,TTD,FRSH,INTA,MNDY,PRO,WDAY,UBER,HUBS,WK,COIN,DDOG,BSY,CXM,U,FROG,PWSC,MANH,MSTR,DV,CDNS,NOW,NATI,TEAM,PEGA,SHOP,CRM,SAP,INTU,GWRE,VERX,PCOR,CVLT,PRGS,RNG,DT,QTWO,CDAY,PTC,SMAR,NCNO,BILL,LSPD,SNOW,NICE,CRNC,GLOB,PCTY,EVBG,ESTC,SSNC,OTEX,SPT,JAMF,ENV,DOCU,ESMT,PAYC,ZM,PD,RPD,YOU,AYX,CALX,BMBL,ZI"
42,Oil & Gas Drilling,Energy,39,5,0,21,1.04,"PTEN,HP"
43,Softwareâ€”Infrastructure,Technology,39,37,21,9,1.04,"ADBE,APPN,AKAM,ALTR,ACIW"
44,Aerospace & Defense,Industrials,37,31,39,35,1.03,"EH,KTOS,BA,BWXT,ERJ,TXT,HEI,AXON,HXL,GD,LMT,NOC,LHX,RTX,SPR,MRCY"
45,Consulting Services,Industrials,37,38,31,16,1.03,"BAH,VRSK,TRU,TRI,EFX"
46,Capital Markets,Financial Services,37,35,15,19,1.03,"MARA,XP,FUTU,EVR,TW,IBKR,MC,FOCS,HLI,RJF,LPLA,SCHW,GS,SF,MS,LAZ,VIRT,MKTX"
47,Luxury Goods,Consumer Cyclical,37,30,35,44,1.03,"SIG,TPR"
48,Auto & Truck Dealerships,Consumer Cyclical,35,51,33,29,1.02,"CARS,PAG,LAD,AN,KMX,DRVN"
49,Utilities—Independent Power Producers,Utilities,35,30,13,1,1.02,"VST,NRG"
50,Publishing,Communication Services,34,33,41,25,1.01,"NYT,RELX"
51,Biotechnology,Healthcare,34,45,56,49,1.01,"RETA,BBIO,IMGN,IMVT,CBAY,VKTX,KDNY,ETNB,RXRX,NUVL,MORF,BHVN,VRNA,AKRO,MDGL,ACAD,ABCM,KNSA,PTGX,RVMD,ARGX,LEGN,AXSM,IDYA,RYTM,PCVX,CORT,NVO,SGEN,FOLD,PRTA,VRTX,ZNTL,INSM,HALO,VCYT,EXEL,ITCI,REGN,VCEL,UTHR,ALKS,IONS,REPL,TECH,NBIX,KRTX,XENE,GMAB,CERT,CPRX,SWTX,BPMC,CLDX,DNLI,AGIO,RCKT,BMRN,JAZZ,VERV,SRPT,SNDX,INCY,RCUS,PLRX,CRSP,DCPH,ALNY,RVNC,SAGE,XNCR,NTLA,BNTX,RARE,PTCT,ARWR,RPRX,CYTK,TVTX,DAWN,HRMY,ZLAB,KYMR,ARVN,CERE,MRNA,BEAM,MRTX,VIR,APLS"
52,Home Improvement Retail,Consumer Cyclical,34,35,30,21,1.01,"FND,LOW,HD"
53,Diagnostics & Research,Healthcare,33,35,35,16,1.0,"EXAS,RDNT,SHC,NEO,PACB,NEOG,MEDP,ICLR,GH,PHG,TWST,IDXX,DXCM,LH,IQV,NTRA,LNTH,TMO,DHR,DGX,QGEN,CRL,MYGN,SYNH,WAT,QDEL,A,ILMN"
54,Tools & Accessories,Industrials,33,46,28,37,1.0,"GFF,LECO,SWK,TKR,KMT,TTC"
55,Oil & Gas E&P,Energy,33,13,10,25,1.0,"VIST,NOG,CNX,CRC,RRC,HES,EQT,SM,ESTE,PDCE,APA,MUR,OVV,ERF,EOG,MTDR,FANG,BSM,COP,CNQ,MRO,PXD,MGY,CTRA,DEN,AR,OXY,TALO,CRK,CHK,CPE,VET,DVN,KRP,HPK"
56,Household & Personal Products,Consumer Defensive,33,33,46,29,1.0,"ELF,COTY,HELE,SPB,CHD,CLX,PG,UL,EWCZ,CL,KMB,EPC,EL,NUS"
57,Entertainment,Communication Services,33,26,31,12,1.0,"NFLX,ROKU,CNK,WWE,CMCSA,IMAX,CHTR,LYV,WMG,LBRDK,EDR,LBTYK,LBTYA,DIS"
58,Recreational Vehicles,Consumer Cyclical,33,40,11,17,1.0,"THO,PII,WGO,CWH,HOG"
59,Railroads,Industrials,32,28,15,9,0.99,"GBX,WAB,UNP,TRN,CP,CSX,NSC,CNI"
60,Medical Distribution,Healthcare,32,35,21,21,0.99,"CAH,PDCO,ABC,MCK,HSIC,OMI"
61,Lodging,Consumer Cyclical,30,28,39,33,0.98,"MAR,HTHT,H,HLT,WH,CHH"
62,Scientific & Technical Instruments,Technology,30,40,21,17,0.98,"COHR,ITRI,VNT,FTV,GRMN,MKSI,TRMB,CGNX,KEYS,ST,TDY"
63,Oil & Gas Integrated,Energy,30,23,26,37,0.98,"YPF,PBR,IMO,CVE,BP,TTE,XOM,SU,EQNR,CVX,NFG,SSL"
64,Specialty Business Services,Industrials,30,30,33,27,0.98,"CPRT,MMS,CTAS,GPN,FA,ABM,RBA"
65,Footwear & Accessories,Consumer Cyclical,30,28,54,44,0.98,"DECK,SKX,CROX,SHOO,NKE,FL"
66,Oil & Gas Midstream,Energy,30,26,28,35,0.98,"LPG,TNK,FRO,PAGP,PAA,MMP,TRGP,NS,WMB,STNG,LNG,GLNG,EURN,HESM,WES,MPLX,OKE,ET,EPD,CEQP,DTM,KMI,VNOM,PBA,ENB,TRP"
67,Leisure,Consumer Cyclical,29,40,39,27,0.97,"CUK,MANU,GOLF,LTH,POOL,BC,VSTO,MAT,SIX,YETI,HAS,SEAS,XPOF,PLNT"
68,Resorts & Casinos,Consumer Cyclical,29,31,49,44,0.97,"MLCO,WYNN,CZR,LVS,MGM,BYD,HGV,RRR,MTN,PENN,VAC"
69,"Furnishings, Fixtures & Appliances",Consumer Cyclical,29,23,21,14,0.97,"TPX,LZB,MHK,WHR,LEG"
70,Beverages—Non-Alcoholic,Consumer Defensive,29,30,47,26,0.97,"CELH,CCEP,MNST,PEP,PRMW,KO,KDP"
71,Security & Protection Services,Industrials,29,28,35,30,0.97,"NSSC,VRRM,ALLE,BRC,REZI"
72,Department Stores,Consumer Cyclical,29,9,0,8,0.97,"JWN,KSS,M"
73,Financial Conglomerates,Financial Services,29,23,18,35,0.97,"JEF,VOYA"
74,Medical Care Facilities,Healthcare,29,33,35,21,0.97,"FMS,DVA,THC,EHC,OPCH,SGRY,HCA,SEM,UHS,AMED,ACHC,MD,AMN,AGL"
75,Specialty Retail,Consumer Cyclical,29,26,37,39,0.97,"MNSO,RH,DKS,FIVE,ASO,ODP,ORLY,WSM,BBY,BBWI,KAR,TSCO,ULTA,GPC,GME,EYE,AAP"
76,Personal Services,Consumer Cyclical,27,30,37,14,0.96,"FTDR,BFAM,ROL,SCI,FRG,HRB"
77,Insurance—Diversified,Financial Services,27,21,15,27,0.96,"ORI,SLF,HIG,EQH,PFG"
78,Staffing & Employment Services,Industrials,27,6,5,12,0.96,"UPWK,TNET,ADP,PAYX,MAN,ZIP,RHI,ASGN,KFY,BZ"
79,Financial Data & Stock Exchanges,Financial Services,27,19,26,19,0.96,"CBOE,MCO,CME,MSCI,SPGI,ICE,FDS,NDAQ"
80,Aluminum,Basic Materials,27,23,13,9,0.96,"CSTM,AA"
81,Asset Management,Financial Services,27,23,18,19,0.96,"APO,BUR,ARES,AMP,KKR,STEP,APAM,BX,TSLX,VCTR,OWL,PTY,BEN,NMFC,SEIC,BLK,CG,JHG,MAIN,BK,PAX,GBDC,ARCC,BAM,FSK,TROW,DSL,STT,PDI,IVZ,GOF,NTRS,JXN,FHI"
82,Insurance Brokers,Financial Services,25,26,37,25,0.95,"BRO,AJG,MMC,AON,BRP"
83,Banksâ€”Regional,Financial Services,25,0,0,16,0.95,"ABCB,ASB"
84,Insurance—Life,Financial Services,25,21,10,27,0.95,"UNM,CNO,BHF,PRU,GL,MFC,MET,PUK,LNC"
85,Banks—Diversified,Financial Services,25,18,13,19,0.95,"ING,HSBC,JPM,UBS,EWBC,WFC,TD,BAC,RY,BMO,CM,C,BNS"
86,Health Information Services,Healthcare,25,23,26,14,0.95,"SDGR,TXG,ACCD,PGNY,HQY,VEEV,PHR,RCM,OMCL,MDRX,NXGN,EVH,PRVA,PINC,TDOC"
87,Information Technology Services,Technology,25,23,11,16,0.95,"AI,TDC,FLYW,NABL,RAMP,SAIC,NCR,FLT,ACN,CDW,IBM,AFRM,CTSH,BR,IT,LDOS,SNX,XRX,DLB,JKHY,INFY,FIS,G,WNS,EPAM,GDS,TASK,PRFT,DXC,CNXC"
88,Grocery Stores,Consumer Defensive,25,23,24,14,0.95,"SFM,ACI,KR,DNUT,ASAI,GO"
89,Insurance—Specialty,Financial Services,25,14,13,14,0.95,"MTG,RDN,FAF,FNF,RYAN,TRUP"
90,Restaurants,Consumer Cyclical,25,35,41,29,0.95,"SHAK,DPZ,DRI,QSR,EAT,PLAY,CMG,CAKE,TXRH,BLMN,YUM,ARMK,MCD,SBUX,YUMC,WING,WEN,PZZA,CNNE,CBRL"
91,Insurance—Reinsurance,Financial Services,25,28,49,48,0.95,"RNR,RGA"
92,Banks—Regional,Financial Services,23,2,2,14,0.94,"GGAL,CUBI,BMA,NYCB,TBBK,WAL,BSAC,FBP,PNFP,TCBI,BPOP,BKU,TFSL,ONB,OZK,CADE,AX,WBS,WTFC,CVBF,ZION,IBN,FULT,HOMB,AUB,RF,FNB,CATY,FFBC,SSB,USB,UCBI,FCF,OCFC,HDB,CMA,HWC,EBC,HBAN,WAFD,SFNC,SNV,UMBF,MTB,HTH,PPBI,FFIN,NWBI,VBTX,SFBS,CBU,CFG,FHB,FITB,PNC,PFS,TRMK,UBSI,BOH,FIBK,PB,SBCF,CFR,CBSH,COLB,TFC,GBCI,SASR,FHN"
93,Specialty Chemicals,Basic Materials,23,25,18,16,0.94,"DD,WLK,CC,RPM,SHW,LIN,ECL,PPG,ESI,LYB,FUL,OLN,AXTA,AVNT,OEC,GPRE,CBT,AVTR,LTHM,ASH,ALB,NGVT,IFF"
94,Electronics & Computer Distribution,Technology,23,49,18,27,0.94,"ARW,AVT"
95,Drug Manufacturers—Specialty & Generic,Healthcare,23,26,47,23,0.94,"AVDL,DVAX,ZTS,TAK,PRGO,SUPN,PCRX,CTLT"
96,Waste Management,Industrials,23,37,44,25,0.94,"CLH,RSG,GFL,WCN,WM,CWST,SRCL"
97,REIT—Retail,Real Estate,21,23,11,14,0.93,"SKT,MAC,KRG,PECO,SITC,REG,SPG,BRX,ROIC,FRT,EPR,KIM,GTY,NTST,O,NNN"
98,Electronic Gaming & Multimedia,Communication Services,21,6,33,14,0.93,"ATVI,TTWO,AVID,BILI,EA,RBLX,SE"
99,Medical Devices,Healthcare,21,28,44,29,0.93,"TMDX,ATEC,ALGN,INMD,PEN,STE,INSP,SYK,CNMD,LIVN,BSX,SWAV,SNN,ZBH,AXNX,PRCT,ABT,NARI,BRKR,MDT,EW,PODD,GMED,TMCI,NUVA,IART,AHCO,TNDM"
100,Packaging & Containers,Consumer Cyclical,19,13,19,21,0.92,"PKG,BERY,CCK,OI,WRK,IP,REYN,GPK,SON,SEE,SLGN"
101,Business Equipment & Supplies,Industrials,19,9,8,6,0.92,"AVY,HNI"
102,Insurance—Property & Casualty,Financial Services,19,13,22,26,0.92,"NMIH,L,SIGI,KMPR,RLI,CINF,AXS,CB,PGR,WRB,LMND,TRV,HMN"
103,REITâ€”Retail,Real Estate,19,14,8,9,0.92,"AKR,ADC"
104,Telecom Services,Communication Services,17,14,21,16,0.91,"USM,TDS,IDCC,TIMB,RADI,GOGO,AMX,SKM,CCOI,TMUS,RCI,IRDM,BCE,VZ,TU,FYBR,T"
105,Communication Equipment,Technology,17,33,22,27,0.91,"EXTR,HPE,CSCO,MSI,KN,JNPR,DGII,ZBRA,CIEN,LITE,VSAT,PI"
106,Drug Manufacturersâ€”General,Healthcare,17,1,22,14,0.91,"ABBV,AMGN"
107,Other Industrial Metals & Mining,Basic Materials,15,9,13,21,0.9,"TECK,CMP,BHP,RIO,VALE,MP,LAC"
108,Thermal Coal,Energy,15,6,19,35,0.9,"CEIX,ARCH,BTU,ARLP"
109,Marine Shipping,Industrials,15,9,11,29,0.9,"INSW,KEX,SBLK,ZIM"
110,Medical Instruments & Supplies,Healthcare,15,23,43,14,0.9,"STVN,GKOS,WST,ISRG,ALC,COO,WRBY,BDX,XRAY,MMSI,HOLX,RGEN,IRTC,NVST,BAX,RMD,MASI,STAA,NVCR"
111,Gold,Basic Materials,15,11,55,23,0.9,"GFI,OR,WPM,AU,FNV,RGLD,AEM,GOLD,SSRM,NEM"
112,Packaged Foods,Consumer Defensive,15,14,39,16,0.9,"BRBR,FRPT,SOVO,INGR,HLF,LW,SMPL,THS,MKC,DAR,PPC,NOMD,SJM,POST,TWNK,UTZ,HRL,K,GIS,KHC,CAG,FLO,CPB"
113,REIT—Office,Real Estate,15,6,2,0,0.9,"VNO,SLG,DLR,BXP,KRC,OFC,CUZ,JBGS,DEI,HIW,DEA,EQC"
